contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY231113P00393000	2023-11-13 17:50:48+00:00	393.0	0.01	0.0	0.01	-0.01	-50.0	4.0	213.0	0.7187528125	False	REGULAR	USD
SPY231113P00394000	2023-11-10 17:33:08+00:00	394.0	0.01	0.0	0.01	0.0	0.0	1.0	1160.0	0.6875031250000001	False	REGULAR	USD
SPY231113P00395000	2023-11-10 18:27:05+00:00	395.0	0.01	0.0	0.01	0.0	0.0	3.0	1109.0	0.6875031250000001	False	REGULAR	USD
SPY231113P00396000	2023-11-10 20:24:14+00:00	396.0	0.01	0.0	0.01	0.0	0.0	3.0	479.0	0.6718782812500002	False	REGULAR	USD
SPY231113P00397000	2023-11-10 19:28:10+00:00	397.0	0.02	0.0	0.01	0.0	0.0	2.0	213.0	0.6562534375000001	False	REGULAR	USD
SPY231113P00398000	2023-11-13 16:48:01+00:00	398.0	0.01	0.0	0.01	-0.02	-66.66667	27.0	264.0	0.64062859375	False	REGULAR	USD
SPY231113P00399000	2023-11-13 14:30:00+00:00	399.0	0.01	0.0	0.01	0.0	0.0	10.0	252.0	0.6250037500000001	False	REGULAR	USD
SPY231113P00400000	2023-11-13 14:53:01+00:00	400.0	0.01	0.0	0.01	0.0	0.0	2.0	538.0	0.6093789062500001	False	REGULAR	USD
SPY231113P00401000	2023-11-10 20:24:14+00:00	401.0	0.01	0.0	0.01	0.0	0.0	7602.0	8068.0	0.5937540625000001	False	REGULAR	USD
SPY231113P00402000	2023-11-10 16:14:27+00:00	402.0	0.02	0.0	0.01	0.0	0.0	1173.0	1218.0	0.57812921875	False	REGULAR	USD
SPY231113P00403000	2023-11-10 17:34:50+00:00	403.0	0.01	0.0	0.01	0.0	0.0	1474.0	2365.0	0.5625043750000001	False	REGULAR	USD
SPY231113P00404000	2023-11-10 20:54:01+00:00	404.0	0.01	0.0	0.01	0.0	0.0	129.0	439.0	0.5625043750000001	False	REGULAR	USD
SPY231113P00405000	2023-11-13 17:50:48+00:00	405.0	0.01	0.0	0.01	-0.01	-50.0	4.0	1776.0	0.5312546875	False	REGULAR	USD
SPY231113P00406000	2023-11-10 18:47:35+00:00	406.0	0.01	0.0	0.01	0.0	0.0	2.0	3365.0	0.5312546875	False	REGULAR	USD
SPY231113P00407000	2023-11-10 18:27:21+00:00	407.0	0.01	0.0	0.01	0.0	0.0	5.0	432.0	0.51562984375	False	REGULAR	USD
SPY231113P00408000	2023-11-13 17:02:24+00:00	408.0	0.01	0.0	0.01	-0.01	-50.0	11.0	3173.0	0.500005	False	REGULAR	USD
SPY231113P00409000	2023-11-10 17:33:08+00:00	409.0	0.02	0.0	0.01	0.0	0.0	2.0	2763.0	0.51562984375	False	REGULAR	USD
SPY231113P00410000	2023-11-13 16:48:01+00:00	410.0	0.01	0.0	0.01	-0.01	-50.0	38.0	1618.0	0.500005	False	REGULAR	USD
