Date	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
1993-01-29 00:00:00-05:00	24.95913978864255	24.95913978864255	24.83496496382343	24.9414005279541	1003200	0.0	0.0	0.0
1993-02-01 00:00:00-05:00	24.959117396403165	25.11877059936523	24.959117396403165	25.118770599365234	480500	0.0	0.0	0.0
1993-02-02 00:00:00-05:00	25.101041968562722	25.189738229935735	25.047824211738913	25.171998977661133	201300	0.0	0.0	0.0
1993-02-03 00:00:00-05:00	25.207480966629177	25.455830532802864	25.189741711902485	25.438091278076172	529400	0.0	0.0	0.0
1993-02-04 00:00:00-05:00	25.526795423030855	25.5977524638176	25.242967259883883	25.54453468322754	531500	0.0	0.0	0.0
1993-02-05 00:00:00-05:00	25.52678871154785	25.580006478145936	25.384874667286294	25.52678871154785	492100	0.0	0.0	0.0
1993-02-08 00:00:00-05:00	25.52678871154785	25.61548498921133	25.491310200482463	25.52678871154785	596100	0.0	0.0	0.0
1993-02-09 00:00:00-05:00	25.438090114179737	25.438090114179737	25.296176082859347	25.349393844604492	122100	0.0	0.0	0.0
1993-02-10 00:00:00-05:00	25.349393928575815	25.40261169049725	25.278436912680572	25.384872436523438	379600	0.0	0.0	0.0
1993-02-11 00:00:00-05:00	25.420354088423814	25.615485906269356	25.420354088423814	25.509050369262695	19500	0.0	0.0	0.0
1993-02-12 00:00:00-05:00	25.473568537390644	25.473568537390644	25.31391525268555	25.313915252685547	42500	0.0	0.0	0.0
1993-02-16 00:00:00-05:00	25.24296839403472	25.24296839403472	24.63983352024893	24.675312042236328	374800	0.0	0.0	0.0
1993-02-17 00:00:00-05:00	24.675293874397553	24.71077237026297	24.568858386801303	24.657554626464844	210900	0.0	0.0	0.0
1993-02-18 00:00:00-05:00	24.941391232890822	24.941391232890822	24.302778086102723	24.63982391357422	378100	0.0	0.0	0.0
1993-02-19 00:00:00-05:00	24.639817470457494	24.728513717651364	24.604338971579946	24.728513717651367	34900	0.0	0.0	0.0
1993-02-22 00:00:00-05:00	24.79946999485106	24.85268774162113	24.728512999157637	24.817209243774414	513600	0.0	0.0	0.0
1993-02-23 00:00:00-05:00	24.888172891859675	24.905912145524578	24.67530184788083	24.799476623535156	373700	0.0	0.0	0.0
1993-02-24 00:00:00-05:00	24.817203438214662	25.11877059936523	24.817203438214662	25.118770599365234	26300	0.0	0.0	0.0
