Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
24.95914360605297	24.95914360605297	24.83496876224176	24.941404342651367	1003200	0.0	0.0	0.0
24.959143929562323	25.118797302246094	24.959143929562323	25.118797302246094	480500	0.0	0.0	0.0
25.101053380394923	25.18974968209243	25.047835599376416	25.17201042175293	201300	0.0	0.0	0.0
25.207475296456778	25.455824806766696	25.189736045720355	25.438085556030273	529400	0.0	0.0	0.0
25.526783986886343	25.597740995883942	25.242955950895944	25.544523239135742	531500	0.0	0.0	0.0
25.526800155639645	25.580017946096156	25.384886047755618	25.52680015563965	492100	0.0	0.0	0.0
25.526800155639645	25.615496473067164	25.49132162866864	25.52680015563965	596100	0.0	0.0	0.0
25.438101598313843	25.438101598313843	25.29618750292576	25.34940528869629	122100	0.0	0.0	0.0
25.34939773794157	25.40261550786027	25.2784407113833	25.384876251220703	379600	0.0	0.0	0.0
25.420369294157283	25.615501228725133	25.420369294157283	25.509065628051758	19500	0.0	0.0	0.0
25.473562779256156	25.473562779256156	25.31390953063965	25.31390953063965	42500	0.0	0.0	0.0
25.24297815017097	25.24297815017097	24.639843043280028	24.675321578979492	374800	0.0	0.0	0.0
24.6752976918392	24.710776193193393	24.56886218777663	24.65755844116211	210900	0.0	0.0	0.0
24.941385440812684	24.941385440812684	24.30277244232815	24.63981819152832	378100	0.0	0.0	0.0
24.639828873501617	24.728525161743164	24.604350358205	24.728525161743164	34900	0.0	0.0	0.0
24.79948143076266	24.85269920207331	24.728524402348462	24.81722068786621	513600	0.0	0.0	0.0
24.888165235178324	24.905904483385864	24.67529425668785	24.799468994140625	373700	0.0	0.0	0.0
24.817229820510086	25.118797302246094	24.817229820510086	25.118797302246094	26300	0.0	0.0	0.0
25.101053380394923	25.18974968209243	25.047835599376416	25.17201042175293	44500	0.0	0.0	0.0
25.225218730607057	25.225218730607057	25.083304701180293	25.20747947692871	66200	0.0	0.0	0.0
25.296169816732576	25.296169816732576	25.101038072003224	25.136516571044922	66500	0.0	0.0	0.0
25.15428029247385	25.509065628051758	25.118801758916057	25.509065628051758	182400	0.0	0.0	0.0
25.544534825882423	25.63323112736118	25.50905630529092	25.61549186706543	280100	0.0	0.0	0.0
25.650962417836308	25.650962417836308	25.473569869995117	25.473569869995117	89500	0.0	0.0	0.0
25.50905012951217	25.615485665518477	25.384875337504806	25.40261459350586	40000	0.0	0.0	0.0
25.4558317452832	25.97027015686035	25.4558317452832	25.97027015686035	50800	0.0	0.0	0.0
25.917041683131657	25.934780931374732	25.828345441916287	25.881563186645508	169300	0.0	0.0	0.0
25.881575701827064	25.93479347229004	25.775140160901113	25.93479347229004	194400	0.0	0.0	0.0
25.95252874424101	26.023485760629914	25.82835396556043	25.863832473754883	70900	0.0	0.0	0.0
25.650963662320017	25.668702917964776	25.438092594582923	25.597745895385742	643600	0.0	0.0	0.0
25.58001166245033	25.721925735473633	25.58001166245033	25.721925735473633	310800	0.0	0.0	0.0
25.721925735473633	25.792882771985283	25.721925735473633	25.721925735473633	30800	0.0	0.0	0.0
25.68644400920246	25.68644400920246	25.526790696990567	25.56226921081543	21800	0.0	0.0	0.0
25.668707958089897	25.828361290241112	25.668707958089897	25.721925735473633	59300	0.0	0.0	0.0
25.825577212405815	25.825577212405815	25.68299293518066	25.682992935180664	66900	0.213	0.0	0.0
25.433468979052204	25.593876281653095	25.415645945429883	25.540407180786133	183400	0.0	0.0	0.0
25.611698918355874	25.629521951701978	25.55822981831755	25.593875885009766	55200	0.0	0.0	0.0
25.55822981831755	25.700814085086407	25.4334685848948	25.593875885009766	37200	0.0	0.0	0.0
25.611711015008314	25.80776447441339	25.57606493148012	25.754295349121094	110100	0.0	0.0	0.0
25.736465130237217	25.75428816703101	25.593880835886875	25.611703872680664	101500	0.0	0.0	0.0
25.629533702932292	25.843410201148696	25.629533702932292	25.71864891052246	87100	0.0	0.0	0.0
25.75427284715253	25.789918899536133	25.71862679476893	25.789918899536133	56000	0.0	0.0	0.0
25.861227079051165	25.93251922813194	25.772111892700195	25.772111892700195	111600	0.0	0.0	0.0
25.80775417775267	25.80775417775267	25.62952383122123	25.682992935180664	129500	0.0	0.0	0.0
25.46911477265334	25.46911477265334	25.148300170898434	25.148300170898438	59400	0.0	0.0	0.0
25.344359625209705	25.344359625209705	25.20177532352076	25.273067474365234	172200	0.0	0.0	0.0
25.326532023968085	25.326532023968085	25.130478644472202	25.201770782470703	129700	0.0	0.0	0.0
25.23741872517302	25.290887832641605	25.18394961770443	25.2908878326416	28000	0.0	0.0	0.0
25.397833351022186	25.397833351022186	25.148310777748986	25.2552490234375	180800	0.0	0.0	0.0
25.504765651917907	25.62952690947446	25.46911957833032	25.611703872680664	348500	0.0	0.0	0.0
25.593876626756455	25.75428393152025	25.57605359289381	25.66516876220703	146100	0.0	0.0	0.0
25.68299715840601	25.700820195989916	25.611705008070395	25.629528045654297	119600	0.0	0.0	0.0
25.611705008070395	25.68299715840601	25.522589820150873	25.629528045654297	148600	0.0	0.0	0.0
25.647351083238203	25.68299715840601	25.59388197048649	25.629528045654297	47900	0.0	0.0	0.0
25.62952312011293	25.700815256747457	25.504761881002505	25.522584915161133	157000	0.0	0.0	0.0
25.48694998757881	25.52259607147752	25.237427400287828	25.39783477783203	279500	0.0	0.0	0.0
25.451306594891495	25.451306594891495	25.308722244219833	25.380014419555664	67900	0.0	0.0	0.0
25.273065276708913	25.48694171064439	25.059188842773438	25.059188842773438	97700	0.0	0.0	0.0
